Date updated,Race/ethnicity,Total population,Total cases,Crude case rate per 100k,Age adjusted case rate per 100k,Total deaths,Crude death rate per 100k,Age adjusted death rate per 100k
6/30/20,Hispanic,589809.00,8810.00,1493.00,1695.00,374.00,63.00,119.00
6/30/20,NH American Indian or Alaskan Native,9566.00,46.00,481.00,527.00,2.00,21.00,
6/30/20,NH Asian or Pacific Islander,177966.00,677.00,379.00,388.00,46.00,26.00,38.00
6/30/20,NH Black,387134.00,6108.00,1577.00,1600.00,641.00,166.00,194.00
6/30/20,NH Multiracial,,128.00,,,27.00,,
6/30/20,NH Other,,265.00,,,16.00,,
6/30/20,NH White,2408190.00,16317.00,677.00,518.00,3168.00,132.00,72.00
6/30/20,Unknown,,14221.00,,,50.00,,
7/1/20,Hispanic,589809.00,8826.00,1496.00,1699.00,374.00,63.00,119.00
7/1/20,NH American Indian or Alaskan Native,9566.00,46.00,481.00,527.00,2.00,21.00,
7/1/20,NH Asian or Pacific Islander,177966.00,677.00,379.00,388.00,46.00,26.00,38.00
7/1/20,NH Black,387134.00,6122.00,1581.00,1603.00,642.00,166.00,194.00
7/1/20,NH Multiracial,,128.00,,,27.00,,
7/1/20,NH Other,,265.00,,,16.00,,
7/1/20,NH White,2408190.00,16380.00,680.00,520.00,3170.00,132.00,72.00
7/1/20,Unknown,,14202.00,,,49.00,,
7/2/20,Hispanic,589809.00,8857.00,1501.00,1705.00,374.00,63.00,119.00
7/2/20,NH American Indian or Alaskan Native,9566.00,45.00,470.00,519.00,2.00,21.00,
7/2/20,NH Asian or Pacific Islander,177966.00,680.00,381.00,390.00,47.00,26.00,39.00
7/2/20,NH Black,387134.00,6134.00,1584.00,1606.00,644.00,166.00,195.00
7/2/20,NH Multiracial,,128.00,,,27.00,,
7/2/20,NH Other,,264.00,,,16.00,,
7/2/20,NH White,2408190.00,16433.00,682.00,522.00,3176.00,132.00,72.00
7/2/20,Unknown,,14176.00,,,49.00,,
7/5/20,Hispanic,589809.00,8893.00,1507.00,1712.00,374.00,63.00,119.00
7/5/20,NH American Indian or Alaskan Native,9566.00,45.00,470.00,519.00,2.00,21.00,
7/5/20,NH Asian or Pacific Islander,177966.00,681.00,382.00,391.00,47.00,26.00,39.00
7/5/20,NH Black,387134.00,6144.00,1587.00,1608.00,644.00,166.00,195.00
7/5/20,NH Multiracial,,129.00,,,27.00,,
7/5/20,NH Other,,266.00,,,16.00,,
7/5/20,NH White,2408190.00,16492.00,685.00,524.00,3179.00,132.00,72.00
7/5/20,Unknown,,14326.00,,,49.00,,
7/6/20,Hispanic,589809.00,8904.00,1509.00,1715.00,374.00,63.00,119.00
7/6/20,NH American Indian or Alaskan Native,9566.00,45.00,470.00,519.00,2.00,21.00,
7/6/20,NH Asian or Pacific Islander,177966.00,681.00,382.00,391.00,47.00,26.00,39.00
7/6/20,NH Black,387134.00,6148.00,1588.00,1610.00,644.00,166.00,195.00
7/6/20,NH Multiracial,,129.00,,,27.00,,
7/6/20,NH Other,,263.00,,,16.00,,
7/6/20,NH White,2408190.00,16517.00,686.00,525.00,3179.00,132.00,72.00
